feature,sigma,cv_r2
REVEAL_VP60VS70,0.25,0.42491397857666013
REVEAL_VP60VS70,0.5178571428571428,0.4314769864082336
REVEAL_VP60VS70,0.7857142857142857,0.43242826461791994
REVEAL_VP60VS70,1.0535714285714286,0.43263448476791383
REVEAL_VP60VS70,1.3214285714285714,0.4327035188674927
REVEAL_VP60VS70,1.5892857142857142,0.43273351192474363
REVEAL_VP60VS70,1.8571428571428572,0.4327488899230957
REVEAL_VP60VS70,2.125,0.4327577710151672
REVEAL_VP60VS70,2.392857142857143,0.43276333808898926
REVEAL_VP60VS70,2.6607142857142856,0.43276708126068114
REVEAL_VP60VS70,2.9285714285714284,0.4327696919441223
REVEAL_VP60VS70,3.196428571428571,0.43277161121368407
REVEAL_VP60VS70,3.4642857142857144,0.4327730298042297
REVEAL_VP60VS70,3.732142857142857,0.43277416229248045
REVEAL_VP60VS70,4.0,0.4327750563621521
REVEAL_S100,0.25,0.42873120307922363
REVEAL_S100,0.5178571428571428,0.4324128866195679
REVEAL_S100,0.7857142857142857,0.432664692401886
REVEAL_S100,1.0535714285714286,0.43272669315338136
REVEAL_S100,1.3214285714285714,0.432748544216156
REVEAL_S100,1.5892857142857142,0.43275816440582277
REVEAL_S100,1.8571428571428572,0.432763135433197
REVEAL_S100,2.125,0.4327659606933594
REVEAL_S100,2.392857142857143,0.43276777267456057
REVEAL_S100,2.6607142857142856,0.4327689528465271
REVEAL_S100,2.9285714285714284,0.432769775390625
REVEAL_S100,3.196428571428571,0.4327703833580017
REVEAL_S100,3.4642857142857144,0.432770836353302
REVEAL_S100,3.732142857142857,0.43277119398117064
REVEAL_S100,4.0,0.43277146816253664
REVEAL_P150,0.25,0.431433641910553
REVEAL_P150,0.5178571428571428,0.43321815729141233
REVEAL_P150,0.7857142857142857,0.4323511004447937
REVEAL_P150,1.0535714285714286,0.43149987459182737
REVEAL_P150,1.3214285714285714,0.43090335130691526
REVEAL_P150,1.5892857142857142,0.43049917221069334
REVEAL_P150,1.8571428571428572,0.4302202820777893
REVEAL_P150,2.125,0.4300224781036377
REVEAL_P150,2.392857142857143,0.42987823486328125
REVEAL_P150,2.6607142857142856,0.4297704458236694
REVEAL_P150,2.9285714285714284,0.4296880722045898
REVEAL_P150,3.196428571428571,0.42962385416030885
REVEAL_P150,3.4642857142857144,0.42957292795181273
REVEAL_P150,3.732142857142857,0.42953187227249146
REVEAL_P150,4.0,0.42949835062026975
FREE_AIR,0.25,0.4006156921386719
FREE_AIR,0.5178571428571428,0.42555100917816163
FREE_AIR,0.7857142857142857,0.43193764686584474
FREE_AIR,1.0535714285714286,0.43277902603149415
FREE_AIR,1.3214285714285714,0.4324746012687683
FREE_AIR,1.5892857142857142,0.43198815584182737
FREE_AIR,1.8571428571428572,0.4314356803894043
FREE_AIR,2.125,0.43092085123062135
FREE_AIR,2.392857142857143,0.4304742097854614
FREE_AIR,2.6607142857142856,0.43009536266326903
FREE_AIR,2.9285714285714284,0.42977553606033325
FREE_AIR,3.196428571428571,0.42950494289398194
FREE_AIR,3.4642857142857144,0.4292749047279358
