n_feats,features,r2,rmse
13,REVEAL_P150|EMAG2_LOG|LITH_RHO|MAG_SEIS_MOHO|MOHO|CTD|DEM|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|SEDIMENT|REVEAL_S100,0.41046208688531827,0.03448448470792008
13,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|DEM|SI|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|SEDIMENT|REVEAL_S100,0.3966973592148708,0.0348847394885913
8,EMAG2_LOG|LITH_RHO|LAB|MOHO|CTD|BOUGUER|REVEAL_VP60VS70|GEOID,0.3997084245645607,0.03479757625206183
5,REVEAL_S90|MOHO_GRAV|REVEAL_VP90VS60|GEOID|SEDIMENT,0.3648516421772894,0.03579360661529921
10,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|LAB|DEM|SI|REVEAL_S90|BOUGUER|GEOID,0.4006308683607206,0.034770829958787046
6,REVEAL_VP50VS80|LITH_RHO|CTD|SI|MOHO_GRAV|REVEAL_S100,0.36392246019478647,0.03581977894099556
17,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|MOHO|DEM|SI|REVEAL_S90|BOUGUER|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41518486909962204,0.034346079532137946
5,CRUST_RHO|LITH_RHO|LAB|GEOID|REVEAL_S100,0.35496812139124523,0.03607102307800214
10,EMAG2_LOG|CRUST_RHO|LAB|REVEAL_S80|CTD|SI|FREE_AIR|GEOID|REVEAL_S70|REVEAL_S100,0.39273320935289346,0.034999161260269716
10,EMAG2_LOG|CRUST_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|CTD|SI|BOUGUER|SEDIMENT|REVEAL_S100,0.40065918150615376,0.034770008692609045
14,CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|CTD|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|REVEAL_VP90VS60|GEOID|REVEAL_S70|REVEAL_S100,0.4030886440643703,0.03469946601549701
14,REVEAL_P150|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|CTD|SI|REVEAL_S90|REVEAL_VP60VS70|FREE_AIR|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4036576713538109,0.034682922812905394
9,EMAG2_LOG|REVEAL_VP50VS80|MAG_SEIS_MOHO|MOHO|DEM|REVEAL_S90|REVEAL_VP60VS70|REVEAL_S70|SEDIMENT,0.3859355852870181,0.0351945029638154
20,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4163821193190429,0.034310904383105606
8,EMAG2_LOG|REVEAL_S80|CTD|SI|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|REVEAL_VP90VS60,0.3693830607769534,0.03566569465359209
13,CRUST_RHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4010359302775388,0.03475907867006456
14,EMAG2_LOG|REVEAL_VP50VS80|MAG_SEIS_MOHO|MOHO|REVEAL_S80|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|REVEAL_VP90VS60|GEOID|SEDIMENT|REVEAL_S100,0.40572222293492255,0.034622834201477055
8,CRUST_RHO|LAB|REVEAL_S80|DEM|BOUGUER|REVEAL_VP90VS60|REVEAL_S70|REVEAL_S100,0.3750733318077175,0.03550441817204876
9,REVEAL_P150|LITH_RHO|REVEAL_S80|CTD|DEM|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|GEOID,0.4040974381206197,0.03467013216476104
20,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.40804672399617337,0.03455505472875716
10,REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|LAB|REVEAL_S80|DEM|SI|BOUGUER|FREE_AIR|GEOID,0.4108790805634014,0.0344722867173519
5,REVEAL_P150|REVEAL_VP50VS80|LITH_RHO|BOUGUER|MOHO_GRAV,0.3583387240189092,0.035976655392079365
6,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|MOHO|CTD|MOHO_GRAV,0.3731269146676267,0.035559666799574244
15,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|LITH_RHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|MOHO_GRAV|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT|REVEAL_S100,0.40774415060340885,0.03456388490577668
10,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|MOHO|REVEAL_S80|DEM|BOUGUER|MOHO_GRAV|GEOID|REVEAL_S100,0.4125290221964256,0.03442397987673686
5,MAG_SEIS_MOHO|LAB|MOHO|MOHO_GRAV|FREE_AIR,0.3421571979579754,0.03642746373491225
19,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|REVEAL_S100,0.41213412520887527,0.034435547803307175
11,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|LAB|MOHO|REVEAL_S80|REVEAL_S90|REVEAL_VP90VS60|GEOID|REVEAL_S70,0.39472233026006,0.03494179383408988
21,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4115407657567328,0.03445292209339202
11,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|MOHO|CTD|REVEAL_S90|REVEAL_VP90VS60|GEOID|SEDIMENT,0.4014508026342595,0.034747038649984255
11,LITH_RHO|MAG_SEIS_MOHO|LAB|DEM|SI|REVEAL_S90|BOUGUER|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70,0.39843043548505075,0.03483459765995955
10,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|REVEAL_S80|CTD|SI|REVEAL_VP60VS70|MOHO_GRAV|SEDIMENT|REVEAL_S100,0.3875681964724885,0.035147686066305105
14,REVEAL_P150|CRUST_RHO|REVEAL_VP50VS80|MAG_SEIS_MOHO|MOHO|CTD|SI|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.40858003348106875,0.034539485348732024
16,REVEAL_P150|CRUST_RHO|LITH_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41209672765314054,0.034436643108284815
14,REVEAL_P150|EMAG2_LOG|LITH_RHO|LAB|MOHO|REVEAL_S80|CTD|REVEAL_S90|REVEAL_VP60VS70|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4075645603587015,0.03456912492667469
19,REVEAL_P150|EMAG2_LOG|CRUST_RHO|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|SEDIMENT|REVEAL_S100,0.40934545596020855,0.03451712741409659
14,REVEAL_P150|REVEAL_VP50VS80|LITH_RHO|MOHO|CTD|DEM|REVEAL_S90|BOUGUER|MOHO_GRAV|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4150603667996996,0.034349735335573325
12,REVEAL_P150|EMAG2_LOG|CRUST_RHO|CTD|DEM|SI|REVEAL_S90|BOUGUER|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S100,0.3997063691340079,0.03479763582639461
10,LITH_RHO|MAG_SEIS_MOHO|REVEAL_S80|DEM|REVEAL_S90|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70|REVEAL_S100,0.3840127459344682,0.0352495627258765
20,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|LITH_RHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41471316595889285,0.03435992825727002
16,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|BOUGUER|MOHO_GRAV|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4051746461625244,0.03463878153733983
11,REVEAL_P150|CRUST_RHO|MAG_SEIS_MOHO|MOHO|DEM|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70|REVEAL_S100,0.40628116014545435,0.03460654843112815
