number,value,datetime_start,datetime_complete,duration,params_BOUGUER,params_CRUST_RHO,params_CTD,params_DEM,params_EMAG2_LOG,params_FREE_AIR,params_GEOID,params_LAB,params_LITH_RHO,params_MAG_SEIS_MOHO,params_MOHO,params_MOHO_GRAV,params_REVEAL_P120,params_REVEAL_P150,params_REVEAL_P180,params_REVEAL_P210,params_REVEAL_P40,params_REVEAL_P60,params_REVEAL_P90,params_REVEAL_P_DIFF_40_60,params_REVEAL_S100,params_REVEAL_S140,params_REVEAL_S200,params_REVEAL_S220,params_REVEAL_S50,params_REVEAL_S80,params_REVEAL_S90,params_REVEAL_S_DIFF_200_220,params_REVEAL_VP60VS70,params_REVEAL_VP90VS60,params_REVEAL_VPVS_DIFF,params_SEDIMENT,params_SI,system_attrs_fixed_params,state
0,0.36138937429795426,2026-04-16 06:56:29.525100,2026-04-16 06:58:53.844466,0 days 00:02:24.319366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'REVEAL_P90': 1.0, 'REVEAL_P60': 1.0, 'SEDIMENT': 1.0, 'REVEAL_P40': 1.0, 'CTD': 1.0, 'CRUST_RHO': 1.0, 'SI': 1.0, 'GEOID': 1.0, 'REVEAL_S80': 1.0, 'REVEAL_VP90VS60': 1.0, 'DEM': 1.0, 'REVEAL_S100': 1.0, 'REVEAL_S200': 1.0, 'REVEAL_S140': 1.0, 'REVEAL_VP60VS70': 1.0, 'REVEAL_VPVS_DIFF': 1.0, 'REVEAL_S_DIFF_200_220': 1.0, 'REVEAL_P120': 1.0, 'REVEAL_P210': 1.0, 'FREE_AIR': 1.0, 'EMAG2_LOG': 1.0, 'MAG_SEIS_MOHO': 1.0, 'MOHO': 1.0, 'REVEAL_S90': 1.0, 'LITH_RHO': 1.0, 'REVEAL_S50': 1.0, 'LAB': 1.0, 'REVEAL_P180': 1.0, 'MOHO_GRAV': 1.0, 'REVEAL_P150': 1.0, 'REVEAL_P_DIFF_40_60': 1.0, 'BOUGUER': 1.0, 'REVEAL_S220': 1.0}",COMPLETE
1,0.3716182924282381,2026-04-16 06:58:53.847520,2026-04-16 07:01:15.726724,0 days 00:02:21.879204,0.1948567125127257,0.18408992080552522,0.18410729205738682,0.10838581269344748,1.0952662748632553,0.31245650712608714,2.962151658830349,0.21839352923182975,0.5954553793888989,0.17258215396625,0.3135775732257744,1.0150667045928572,0.7790143126276238,0.11992724522955164,0.7475992999956502,0.541828231953324,1.040166367988731,4.123206532618726,0.432845022129388,1.0769622478263126,4.44475416669081,0.22948683681130555,2.595942550311263,0.12897950480855533,2.157696745589682,1.0502105436744278,0.4192159350410975,0.32877474139911184,0.20366442026830908,1.5958573588141265,0.20492680115417347,1.7524101118128137,0.1255111517297383,,COMPLETE
2,0.35340115156448004,2026-04-16 07:01:15.728608,2026-04-16 07:03:39.266655,0 days 00:02:23.538047,0.3001230180898044,1.4537555576161922,0.1465352103067214,3.5067764992972172,3.3134836155089475,3.946212980759093,0.16119044727609197,0.35704789209099796,0.21526280972215278,1.0370844668954533,3.683296438423419,0.28907721743726744,4.439102767051396,2.558586885593424,0.45745782054754014,2.074566765675251,0.3292529363110524,4.370990468130502,4.09381360859878,0.4037506188440754,0.27520696850790527,0.3385226783451977,1.3353819088790582,0.8356499023325523,0.11935477742481386,0.6938901412739394,0.1413663700812185,0.20609249413202357,0.7648565112369945,0.11439974749291269,0.8488762161408708,2.3628864184236402,0.5595074635794794,,COMPLETE
3,0.3568204640210532,2026-04-16 07:03:39.270992,2026-04-16 07:05:59.004959,0 days 00:02:19.733967,0.5325732706437204,0.21757649801197562,2.051259942215136,2.043455498416139,1.7361170890393296,0.3568426123255424,2.4290950368254953,1.9613313824155445,0.15965665886173755,1.2111307195599326,3.216235469207419,2.0410334065257048,0.12822825454807552,0.6901506581791922,0.8986552644007192,0.3375589571206083,4.749974771378395,2.306261812167793,0.17355056469855074,0.7728716861851782,0.13359790328445564,0.15734685129393672,0.4064644058668375,0.11045524260304719,1.6284765129487637,1.5882886211970033,0.6342770438858341,0.36491004518573583,2.9267581150621287,1.7320535358459537,1.1454201562599386,0.13386261584543913,0.10218376758008087,,COMPLETE
4,0.3636463861786262,2026-04-16 07:05:59.005950,2026-04-16 07:08:19.120894,0 days 00:02:20.114944,0.5118807219845012,3.482797436617689,0.73121711727864,0.13514082247401413,0.8247575333443021,3.284210350911731,0.49799877736850856,0.5316714274124602,0.1538065811598201,2.3540549916739844,3.3299080375866614,2.899715852166587,2.3196088229293594,0.10275701058256682,2.453480159918335,0.20748033175894867,0.3420435321164826,0.11308297976636,0.15251209898002926,0.7374699809816788,0.3106554858581908,3.797767944247853,0.1878927968546051,0.23842649129817403,0.24392426447067803,1.9215811115723025,0.34695916603302895,3.024025177405686,2.360327600127808,0.24474916579073802,1.1916095713775827,1.2057081573389115,0.26517954410462846,,COMPLETE
5,0.33023968825686306,2026-04-16 07:08:19.122117,2026-04-16 07:10:41.756593,0 days 00:02:22.634476,0.8133268642646567,1.5646172845245514,0.7610438922351125,0.699536365395908,0.17626741740706342,0.25527510672017345,4.477427984113195,0.2533605885076776,1.3865582968261485,0.6785245383889537,4.727053921131418,0.42155331669491175,0.2974486379287082,1.1865024511462618,1.7267033554444338,3.4923398229690443,0.35408871584750534,0.37462611558389586,0.1598260858385584,1.1921968649009667,0.32447648098898546,0.1155233613914713,0.30474420508418104,0.14236381287235736,1.9677452882613438,4.31687113842961,0.25777728526856764,0.12230968684637636,1.0855042274745075,0.26777533310313256,0.7145565133513968,3.999220074578463,0.4147589698454849,,COMPLETE
6,0.34903623744636536,2026-04-16 07:10:41.757380,2026-04-16 07:13:02.618259,0 days 00:02:20.860879,1.7115000764688548,1.416320452869399,1.0090423315981845,0.19780776349405252,1.3221876538695285,0.27430586177787175,0.7413627235366395,3.3445882537423945,0.25757267464272166,2.445884838854264,0.8775452610882297,1.1902012049596233,3.7241461894928167,0.3767050528609561,3.3867510216238226,3.0943771470831383,0.11729398526129194,0.3507484078994471,2.625148553475693,0.3920095005479951,1.492390555251755,3.903697468383557,0.45399571411797673,3.3432081915002594,0.1439391089327091,0.2425546071605745,0.7940730292120066,0.15587917868879184,0.17125527562127538,1.2477547117579695,0.3797182755664948,0.2074384957294224,0.10670437436886865,,COMPLETE
7,0.3655455761039911,2026-04-16 07:13:02.620144,2026-04-16 07:15:25.227338,0 days 00:02:22.607194,1.1810970754652488,3.36214634822542,0.1881925110523379,0.10199983732585115,1.2697166345350421,1.8546693963465997,0.1036634157292471,0.2822090051553566,0.14426155883642527,2.7720757993795844,1.3099797385674432,4.498997443951861,0.25297586129952526,0.46543736260056773,0.25973536453725443,0.35714479620010053,0.13897967017840054,2.113416820082882,3.2146465264678445,3.2776331220237247,0.18758929697854748,1.4979909410671277,0.8556226023737441,2.2405805612946135,0.4214422962057286,0.1487294964712418,0.9237177101041923,1.621702307943825,1.2813348073648008,1.3405085969289574,0.24045113403355006,1.2325158377757162,1.0722715472299058,,COMPLETE
8,0.35035486038569247,2026-04-16 07:15:25.228410,2026-04-16 07:17:45.284952,0 days 00:02:20.056542,0.17298105438684686,0.2999327032958846,1.6882022447363862,4.1753803075184335,0.45109653340121175,0.31641701954844287,1.2492175283159117,1.5224174271071171,0.8830568083719574,2.7929018550910776,0.34549437457269533,0.1462513716989619,4.336720537130749,1.1088653955197347,0.9300725537404403,2.81343883728721,0.2146406524604869,0.9553057578887411,0.7144393131097432,4.809188434406937,3.583662952414401,0.1062332156990954,0.42548918777106237,0.759672721122477,3.89492303883841,0.19994278254364248,0.19407209432804684,4.38851454510497,3.7773340393735215,3.961055478182881,0.5339148796046899,0.6867090776580449,0.10997959032388707,,COMPLETE
9,0.3243078356770971,2026-04-16 07:17:45.285693,2026-04-16 07:20:05.578788,0 days 00:02:20.293095,0.7713928938790778,0.3153579159668689,0.40809820330120644,0.7391888334744298,0.9604629436055062,0.14443501695377814,2.378802343466695,0.11267277996879667,0.3067785513876969,0.11509722292608278,0.6180691498776408,2.497892120906854,0.3751834158446108,0.409216461404211,0.11573199841119607,0.4346144590956211,1.5613468349331552,1.8136089975611087,3.094785346274657,0.1643887146465753,0.7113136476036263,1.2713619874715776,2.271326477723069,2.0332742012972784,1.0088067681178658,2.972554739324683,0.8354817300713056,3.2515645455920947,1.5581909172350805,3.560969923212881,2.2491989652673565,1.5283007861169702,2.3718123485461646,,COMPLETE
