n_feats,features,r2,rmse
13,REVEAL_S70|REVEAL_P150|MAG_SEIS_MOHO|MOHO_GRAV|GEOID|LITH_RHO|MOHO|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|SI|REVEAL_VP90VS60,0.31357518344578283,0.03721040175989038
13,REVEAL_P150|EMAG2_LOG|BOUGUER|MOHO_GRAV|REVEAL_VP50VS80|MOHO|DEM|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|SI|REVEAL_VP90VS60,0.2781124624335386,0.03815949715129708
8,REVEAL_P150|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|LITH_RHO|REVEAL_S100|REVEAL_VP60VS70|REVEAL_S80,0.29100746201522854,0.03781714189795754
5,FREE_AIR|CRUST_RHO|SEDIMENT|REVEAL_S80|SI,0.2569671631986301,0.03871434130021566
10,REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|REVEAL_VP50VS80|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_S80,0.2994696991793352,0.03759077966781705
6,BOUGUER|MAG_SEIS_MOHO|LITH_RHO|DEM|CRUST_RHO|REVEAL_VP90VS60,0.2417128071454976,0.039109722229240515
17,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|GEOID|MOHO|DEM|FREE_AIR|REVEAL_S100|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.2882874666552775,0.03788961373496798
5,EMAG2_LOG|MAG_SEIS_MOHO|REVEAL_VP50VS80|REVEAL_S80|REVEAL_VP90VS60,0.2252288157057608,0.039532529243643214
10,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|REVEAL_S90|LITH_RHO|DEM|CTD|REVEAL_S80|LAB|REVEAL_VP90VS60,0.27968297161456024,0.038117965424930546
10,REVEAL_P150|EMAG2_LOG|MOHO_GRAV|GEOID|REVEAL_S90|LITH_RHO|DEM|REVEAL_S100|SI|REVEAL_VP90VS60,0.2957485393451138,0.03769048701202261
14,EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|GEOID|REVEAL_S90|LITH_RHO|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|SEDIMENT|REVEAL_S80|LAB|REVEAL_VP90VS60,0.2963464985752141,0.03767448267135529
14,REVEAL_S70|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|LITH_RHO|DEM|FREE_AIR|REVEAL_VP60VS70|CTD|LAB|SI|REVEAL_VP90VS60,0.30774451804794023,0.0373681048411373
9,REVEAL_P150|BOUGUER|MOHO_GRAV|GEOID|MOHO|FREE_AIR|REVEAL_VP60VS70|LAB|SI,0.3125332264025473,0.037238632774478996
20,REVEAL_S70|REVEAL_P150|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.31396303702382344,0.037199887697489616
8,REVEAL_P150|REVEAL_S90|LITH_RHO|DEM|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|SEDIMENT,0.2778137077052665,0.03816739252996784
13,EMAG2_LOG|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|SEDIMENT|LAB|SI|REVEAL_VP90VS60,0.3006907078743364,0.03755800543498911
14,REVEAL_P150|BOUGUER|MOHO_GRAV|GEOID|REVEAL_S90|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|SEDIMENT|REVEAL_S80|SI|REVEAL_VP90VS60,0.31176474730856063,0.037259440411291936
8,EMAG2_LOG|REVEAL_VP50VS80|REVEAL_S90|MOHO|REVEAL_S100|SEDIMENT|LAB|REVEAL_VP90VS60,0.26712840684931294,0.038448713703243126
9,REVEAL_S70|MAG_SEIS_MOHO|REVEAL_S90|LITH_RHO|MOHO|REVEAL_VP60VS70|CTD|SEDIMENT|REVEAL_S80,0.2793287467884715,0.03812733676391395
20,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_VP60VS70|CRUST_RHO|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.3133487958312492,0.037216537376953254
10,REVEAL_S70|REVEAL_P150|MOHO_GRAV|REVEAL_VP50VS80|REVEAL_S90|MOHO|DEM|REVEAL_S100|CTD|REVEAL_S80,0.27447921252658425,0.038255404735809406
5,REVEAL_S70|BOUGUER|MAG_SEIS_MOHO|REVEAL_S100|CRUST_RHO,0.2664729474534514,0.038465903575601715
6,REVEAL_S70|REVEAL_P150|BOUGUER|GEOID|LITH_RHO|CRUST_RHO,0.2900753412438557,0.037841993051710994
15,REVEAL_S70|REVEAL_P150|BOUGUER|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|CRUST_RHO|SEDIMENT|LAB|SI|REVEAL_VP90VS60,0.29713065452975385,0.037653484477581343
10,REVEAL_P150|EMAG2_LOG|BOUGUER|GEOID|REVEAL_S90|MOHO|REVEAL_S100|CRUST_RHO|REVEAL_S80|REVEAL_VP90VS60,0.3001456781814561,0.037572638617627364
5,MOHO_GRAV|REVEAL_VP50VS80|GEOID|CRUST_RHO|CTD,0.2748020977471959,0.03824689121034623
19,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CTD|SEDIMENT|REVEAL_S80|LAB|REVEAL_VP90VS60,0.308089086224699,0.03735880375019674
11,REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|REVEAL_S90|FREE_AIR|SEDIMENT|REVEAL_S80|LAB,0.2857746966329725,0.03795644127695217
21,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.307087076282612,0.03738584505646152
11,REVEAL_S70|REVEAL_P150|BOUGUER|MOHO_GRAV|REVEAL_VP50VS80|GEOID|LITH_RHO|FREE_AIR|SEDIMENT|REVEAL_S80|SI,0.30389790194548916,0.03747178161322996
11,MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|MOHO|DEM|FREE_AIR|REVEAL_S100|CRUST_RHO|CTD|SEDIMENT|LAB,0.2872788035896985,0.037916453449622224
10,REVEAL_S70|REVEAL_P150|BOUGUER|REVEAL_S90|LITH_RHO|DEM|REVEAL_VP60VS70|CRUST_RHO|SI|REVEAL_VP90VS60,0.2835525562605724,0.038015441593500364
14,REVEAL_S70|EMAG2_LOG|BOUGUER|MOHO_GRAV|GEOID|LITH_RHO|DEM|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.2924556560807233,0.03777849935040442
16,REVEAL_S70|EMAG2_LOG|MAG_SEIS_MOHO|MOHO_GRAV|GEOID|REVEAL_S90|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.30058247751837497,0.03756091170198437
14,REVEAL_S70|REVEAL_P150|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|FREE_AIR|REVEAL_VP60VS70|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.2876689653243766,0.03790607381276631
19,REVEAL_S70|REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|SI|REVEAL_VP90VS60,0.2989578053433719,0.03760451138964864
14,REVEAL_S70|BOUGUER|MAG_SEIS_MOHO|GEOID|LITH_RHO|MOHO|FREE_AIR|REVEAL_S100|CRUST_RHO|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.3193859641751732,0.03705256872308753
12,REVEAL_S70|REVEAL_P150|EMAG2_LOG|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|CTD|SEDIMENT|REVEAL_S80|REVEAL_VP90VS60,0.28558989401298773,0.03796135148951359
10,MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_S90|MOHO|FREE_AIR|REVEAL_VP60VS70|CTD|SEDIMENT|LAB|REVEAL_VP90VS60,0.2872996779826932,0.03791589819130407
20,REVEAL_S70|REVEAL_P150|BOUGUER|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.32779755532967636,0.03682289374430752
16,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|REVEAL_S100|CRUST_RHO|SEDIMENT|LAB|SI|REVEAL_VP90VS60,0.28541767287091524,0.03796592684006577
11,REVEAL_S70|EMAG2_LOG|MOHO_GRAV|GEOID|MOHO|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|LAB|REVEAL_VP90VS60,0.2758438090610148,0.03821941144426879
14,REVEAL_P150|MAG_SEIS_MOHO|REVEAL_VP50VS80|REVEAL_S90|LITH_RHO|DEM|FREE_AIR|REVEAL_S100|CRUST_RHO|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.2955771132056637,0.03769507396846162
19,REVEAL_S70|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.306294022927015,0.03740723337975859
8,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|GEOID|LAB|SI,0.2920863534443543,0.03778835730452511
9,BOUGUER|MOHO_GRAV|GEOID|LITH_RHO|FREE_AIR|REVEAL_S100|SEDIMENT|REVEAL_S80|REVEAL_VP90VS60,0.2724709022601538,0.03830831543772645
