K,cv_r2
2.0,0.09271024564775099
3.4871794871794872,0.3039774158729839
4.9743589743589745,0.354161158356664
6.461538461538462,0.38562164653559516
7.948717948717949,0.3905086493004798
9.435897435897436,0.38618086662180423
10.923076923076923,0.38562381875677765
12.41025641025641,0.3887367050217838
13.897435897435898,0.39087227306698197
15.384615384615385,0.39052714370843794
16.871794871794872,0.3870651737360789
18.358974358974358,0.3880838697847612
19.846153846153847,0.3860880834750402
21.333333333333336,0.38272238562047806
22.82051282051282,0.3812548567762543
24.307692307692307,0.37935182425106245
25.794871794871796,0.37598821903664287
27.282051282051285,0.37454373564300925
28.76923076923077,0.3720198474821932
30.256410256410255,0.37013858740941674
31.743589743589745,0.369160250153973
33.23076923076923,0.3660115298631359
34.717948717948715,0.3650141919021176
36.205128205128204,0.36410847699818355
37.69230769230769,0.36325164881628613
39.17948717948718,0.36182445135851193
40.66666666666667,0.36146682955077425
42.15384615384615,0.359996150013229
43.64102564102564,0.35834219855939065
45.12820512820513,0.35824412182983345
46.61538461538461,0.35776113753855865
48.1025641025641,0.3566434653150806
49.58974358974359,0.3561852771903832
51.07692307692308,0.35585737856648925
52.56410256410257,0.35631642327127844
54.05128205128205,0.3550525408201328
55.53846153846154,0.35408287097327557
57.02564102564103,0.35333141926574047
58.51282051282051,0.35215228666860865
60.0,0.3519584126315681
