run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
172,2000,25,1,sqrt,False,0.2,0.25,22568,7523,0.022210966247829,0.013604040378996669,0.4509664372973734,0.8932606672869866,73.6885359287262
173,1500,25,10,0.5,True,0.35,0.1,27762,3085,0.035670281005980235,0.017893586309163524,0.4171892438545799,0.9290113452188007,50.808812856674194
174,1500,25,10,0.3,True,0.225,0.2,24235,6059,0.023933777548732122,0.01441078848621463,0.4298192105613182,0.9338174616273313,32.431458950042725
175,500,30,2,log2,False,0.2,0.2,24072,6019,0.02175002214224915,0.013380393879314233,0.46980882338336993,0.9044691809270643,15.677964925765991
176,2000,20,7,sqrt,False,0.25,0.2,24333,6084,0.02558945236589741,0.015015243173903015,0.41784770406755345,0.9368836291913215,39.00959801673889
177,500,25,7,sqrt,True,0.225,0.2,24235,6059,0.02378824588855713,0.014293959655928787,0.43673220828571646,0.9303515431589371,10.125150918960571
178,500,15,7,0.7,False,0.3,0.25,22950,7650,0.0285257363750072,0.01627366343006935,0.40542517706892234,0.9352941176470588,15.150557041168213
179,1000,25,5,sqrt,True,0.3,0.1,27540,3060,0.027333135658604988,0.015068868006638089,0.44446802514396344,0.9313725490196079,25.336679935455322
180,1000,30,7,0.3,False,0.3,0.15,26010,4590,0.02749623361351864,0.01523783246148617,0.4396087802035018,0.9313725490196079,25.372792959213257
181,1500,15,1,0.7,False,0.35,0.1,27762,3085,0.035406860889575315,0.018378716733466856,0.4257654140343886,0.9306320907617504,62.013094902038574
182,1500,None,10,0.5,False,0.25,0.2,24333,6084,0.02548256635478511,0.014879240608308317,0.4227007960812368,0.9334319526627219,43.7823429107666
183,500,30,5,0.4,True,0.225,0.1,27264,3030,0.022791064885824726,0.013487444752474879,0.4716566180969166,0.9227722772277228,16.39549970626831
184,2000,30,3,0.5,True,0.3,0.1,27540,3060,0.027016905948434766,0.014756863431405797,0.45724807941278856,0.9137254901960784,88.69040369987488
185,1500,15,1,0.7,True,0.35,0.2,24677,6170,0.03540054308373481,0.017999564245354965,0.37872467192000236,0.9293354943273906,55.38987112045288
186,1000,50,7,0.6,True,0.2,0.25,22568,7523,0.022263108278838734,0.013699670864739255,0.44838561054031867,0.9181177721653596,31.622478008270264
