run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed
190,1500,30,5,0.3,True,0.2,0.25,2103,701,0.03403392179586738,0.024486457131331768,0.33201590295510086,0.8801711840228246,4.468775987625122
191,2000,None,5,0.4,False,0.35,0.2,2504,627,0.061345001343525295,0.03627697269154666,0.3165316857331919,0.9090909090909091,7.640232086181641
192,2000,20,2,sqrt,False,0.3,0.25,2262,755,0.0453860143883657,0.02969267314621475,0.33377051707564,0.8834437086092716,7.0242228507995605
193,1000,40,2,0.7,False,0.225,0.15,2452,433,0.03813908949872177,0.026661516089135837,0.3218771526210905,0.8452655889145496,5.824338912963867
194,500,25,3,0.7,True,0.3,0.1,2715,302,0.04204190387465714,0.027695091426622888,0.3617319922353992,0.8708609271523179,2.7869229316711426
195,2000,None,3,0.4,False,0.25,0.25,2202,735,0.039870230928276296,0.027590709397898216,0.30371676161768135,0.8748299319727891,7.750295162200928
196,2000,30,5,0.6,False,0.3,0.25,2262,755,0.044728519551704905,0.02934396140831092,0.35293366898839595,0.8980132450331125,8.471319913864136
197,1000,40,1,0.6,False,0.3,0.15,2564,453,0.04368734955474688,0.02877727296957774,0.31252455312961835,0.8344370860927153,7.3431079387664795
198,2000,None,1,0.6,False,0.25,0.25,2202,735,0.04145839814661479,0.028754756349732295,0.24714129854221223,0.8435374149659864,13.1674222946167
199,1500,20,2,sqrt,True,0.35,0.1,2817,314,0.06042239919278298,0.036383207262482,0.3694884695880689,0.856687898089172,5.940305948257446
200,2000,30,5,log2,False,0.35,0.2,2504,627,0.061397001291163295,0.036586157917670156,0.31537249170276105,0.9122807017543859,6.07465386390686
