K,cv_r2
2.0,0.029672278346827154
3.4871794871794872,0.2215833674840423
4.9743589743589745,0.2954987112300175
6.461538461538462,0.3282666178488096
7.948717948717949,0.3383564147163267
9.435897435897436,0.34077337563383814
10.923076923076923,0.3392432414627523
12.41025641025641,0.3416933746993873
13.897435897435898,0.34105739879461544
15.384615384615385,0.3374522416515015
16.871794871794872,0.3361585335007824
18.358974358974358,0.3346607000116223
19.846153846153847,0.33317159321662515
21.333333333333336,0.3315433643175333
22.82051282051282,0.32897791919475206
24.307692307692307,0.3270675322404779
25.794871794871796,0.3283819107936866
27.282051282051285,0.32264257794218343
28.76923076923077,0.3181936459852904
30.256410256410255,0.3197442419087775
31.743589743589745,0.31544260258534534
33.23076923076923,0.3143176525319
34.717948717948715,0.31546259810595273
36.205128205128204,0.3132133255791441
37.69230769230769,0.3142090147268335
39.17948717948718,0.311741821787218
40.66666666666667,0.3099767029681006
42.15384615384615,0.30760774961148446
43.64102564102564,0.30486030616470206
45.12820512820513,0.3032218395403232
46.61538461538461,0.3007043484552748
48.1025641025641,0.2972874268278033
49.58974358974359,0.2947373054787869
51.07692307692308,0.294444329649653
52.56410256410257,0.2941322752230151
54.05128205128205,0.2914155139450948
55.53846153846154,0.2885560243941631
57.02564102564103,0.2889797302844583
58.51282051282051,0.2851820747748689
60.0,0.2841941609888138
