feature,sigma,cv_r2
MOHO_GRAV,0.1,0.33063049865147665
MOHO_GRAV,0.13223761271250095,0.3356570315139658
MOHO_GRAV,0.174867862159014,0.3368475629264101
MOHO_GRAV,0.23124108632046694,0.3420502355245322
MOHO_GRAV,0.3057876921606392,0.3383600572841138
MOHO_GRAV,0.4043663440818807,0.3399909866820891
MOHO_GRAV,0.5347244000266965,0.33985981787334507
MOHO_GRAV,0.7071067811865475,0.341004730009919
MOHO_GRAV,0.9350611267692983,0.341992475644453
MOHO_GRAV,1.2365025114423323,0.3418590781292378
MOHO_GRAV,1.6351214022614597,0.3418201795171571
MOHO_GRAV,2.1622455073017246,0.341845600044988
MOHO_GRAV,2.8593018398391052,0.3416933746993873
MOHO_GRAV,3.7810724932478514,0.3416748497901656
MOHO_GRAV,5.000000000000001,0.3417063421358425
MOHO,0.1,0.3362462602523363
MOHO,0.13223761271250095,0.3431758547611313
MOHO,0.174867862159014,0.3406222871747381
MOHO,0.23124108632046694,0.34088417952686567
MOHO,0.3057876921606392,0.3426140277913398
MOHO,0.4043663440818807,0.33944755778779645
MOHO,0.5347244000266965,0.33884652965558926
MOHO,0.7071067811865475,0.34126645236172
MOHO,0.9350611267692983,0.3408824524786791
MOHO,1.2365025114423323,0.3424636527060915
MOHO,1.6351214022614597,0.34149908996493067
MOHO,2.1622455073017246,0.33996015678864033
MOHO,2.8593018398391052,0.33982674818651004
MOHO,3.7810724932478514,0.33982567378374595
MOHO,5.000000000000001,0.33982567378374595
DEM,0.1,0.34561205538323947
DEM,0.13223761271250095,0.34256261165130863
DEM,0.174867862159014,0.33909697953479884
DEM,0.23124108632046694,0.3354046408080081
DEM,0.3057876921606392,0.3363350625598774
DEM,0.4043663440818807,0.33664996509242917
DEM,0.5347244000266965,0.33484783191727036
DEM,0.7071067811865475,0.3341018969126161
DEM,0.9350611267692983,0.3334034910090164
DEM,1.2365025114423323,0.3334207782017269
DEM,1.6351214022614597,0.33258536380737025
DEM,2.1622455073017246,0.33181287507272844
DEM,2.8593018398391052,0.33185288625165904
DEM,3.7810724932478514,0.33185288625165904
DEM,5.000000000000001,0.33198626559805533
LAB,0.1,0.3398634174452342
LAB,0.13223761271250095,0.34013985955115283
LAB,0.174867862159014,0.33991478009395343
LAB,0.23124108632046694,0.3445378272596418
LAB,0.3057876921606392,0.34269621515323184
LAB,0.4043663440818807,0.3438659765519574
LAB,0.5347244000266965,0.34372597561331103
LAB,0.7071067811865475,0.3435104550662173
LAB,0.9350611267692983,0.34258253656289517
LAB,1.2365025114423323,0.3424239864936869
LAB,1.6351214022614597,0.34219666005134813
LAB,2.1622455073017246,0.34175876724762444
LAB,2.8593018398391052,0.3416621391808327
LAB,3.7810724932478514,0.3416933746993873
LAB,5.000000000000001,0.3416933746993873
CTD,0.1,0.3395759934201724
CTD,0.13223761271250095,0.3395628176447803
CTD,0.174867862159014,0.34094573450044285
CTD,0.23124108632046694,0.3421921435033083
CTD,0.3057876921606392,0.34337715181674827
CTD,0.4043663440818807,0.34110893481919813
CTD,0.5347244000266965,0.3417070410073363
CTD,0.7071067811865475,0.3430730197631566
CTD,0.9350611267692983,0.34232723692005235
CTD,1.2365025114423323,0.34280382958702593
CTD,1.6351214022614597,0.3432887565628017
CTD,2.1622455073017246,0.34308917054106336
CTD,2.8593018398391052,0.343045125647537
CTD,3.7810724932478514,0.3429541308364663
CTD,5.000000000000001,0.34273531793397793
EMAG2_LOG,0.1,0.3169585581641735
EMAG2_LOG,0.13223761271250095,0.32515730476465077
EMAG2_LOG,0.174867862159014,0.3298816496130575
EMAG2_LOG,0.23124108632046694,0.3363065027495016
EMAG2_LOG,0.3057876921606392,0.34015168773345084
EMAG2_LOG,0.4043663440818807,0.34200023469600394
EMAG2_LOG,0.5347244000266965,0.3413099170776021
EMAG2_LOG,0.7071067811865475,0.34338439289958467
EMAG2_LOG,0.9350611267692983,0.3416884613303887
EMAG2_LOG,1.2365025114423323,0.3405127428808798
EMAG2_LOG,1.6351214022614597,0.3402822132622217
EMAG2_LOG,2.1622455073017246,0.33996280718674665
EMAG2_LOG,2.8593018398391052,0.3402549285592496
EMAG2_LOG,3.7810724932478514,0.3402021033598592
EMAG2_LOG,5.000000000000001,0.3400963038573506
FREE_AIR,0.1,0.33085198647347547
FREE_AIR,0.13223761271250095,0.3382771760721843
FREE_AIR,0.174867862159014,0.339654473369356
FREE_AIR,0.23124108632046694,0.34237320235007723
FREE_AIR,0.3057876921606392,0.3423871506455645
FREE_AIR,0.4043663440818807,0.3396650537482437
FREE_AIR,0.5347244000266965,0.3379869023110492
FREE_AIR,0.7071067811865475,0.3375885547722923
FREE_AIR,0.9350611267692983,0.3355199884811106
FREE_AIR,1.2365025114423323,0.3348209856490342
FREE_AIR,1.6351214022614597,0.33380100700194887
FREE_AIR,2.1622455073017246,0.3333596612939277
FREE_AIR,2.8593018398391052,0.3326840188966692
FREE_AIR,3.7810724932478514,0.33187021440177783
FREE_AIR,5.000000000000001,0.332550202628636
BOUGUER,0.1,0.3389019342064727
BOUGUER,0.13223761271250095,0.34181572278380956
BOUGUER,0.174867862159014,0.3413101857652977
BOUGUER,0.23124108632046694,0.3420118816598858
BOUGUER,0.3057876921606392,0.3421230783883
BOUGUER,0.4043663440818807,0.34242779792979405
BOUGUER,0.5347244000266965,0.34231653659401884
BOUGUER,0.7071067811865475,0.34221463636979177
BOUGUER,0.9350611267692983,0.3424243643422859
BOUGUER,1.2365025114423323,0.342518380444342
BOUGUER,1.6351214022614597,0.34245913892480095
BOUGUER,2.1622455073017246,0.34245913892480095
BOUGUER,2.8593018398391052,0.34245913892480095
BOUGUER,3.7810724932478514,0.34243791412718844
BOUGUER,5.000000000000001,0.34243791412718844
SI,0.1,0.33749206143620686
SI,0.13223761271250095,0.33758981754240625
SI,0.174867862159014,0.3369688801755446
SI,0.23124108632046694,0.33778965532966493
SI,0.3057876921606392,0.33809252669991946
SI,0.4043663440818807,0.3391747546408956
SI,0.5347244000266965,0.34009112690818766
SI,0.7071067811865475,0.34100684455548347
SI,0.9350611267692983,0.3395921513186525
SI,1.2365025114423323,0.34099706808451186
SI,1.6351214022614597,0.34131575902140077
SI,2.1622455073017246,0.3415162376472301
SI,2.8593018398391052,0.3417010599207405
SI,3.7810724932478514,0.34158657869405296
SI,5.000000000000001,0.34226518195585076
GEOID,0.1,0.33745214205617724
GEOID,0.13223761271250095,0.33981894634613474
GEOID,0.174867862159014,0.3418478554114356
GEOID,0.23124108632046694,0.34053409752364827
GEOID,0.3057876921606392,0.3417592426452106
GEOID,0.4043663440818807,0.3388514178812965
GEOID,0.5347244000266965,0.3385286557561725
GEOID,0.7071067811865475,0.34016347362839694
GEOID,0.9350611267692983,0.3400128044768489
GEOID,1.2365025114423323,0.3392254150818534
