number,value,datetime_start,datetime_complete,duration,params_BOUGUER,params_CRUST_RHO,params_CTD,params_DEM,params_EMAG2_LOG,params_FREE_AIR,params_GEOID,params_LAB,params_LITH_RHO,params_MAG_SEIS_MOHO,params_MOHO,params_MOHO_GRAV,params_P_DIFF_40_60,params_REVEAL_P120,params_REVEAL_P210,params_REVEAL_P40,params_REVEAL_P60,params_REVEAL_S100,params_REVEAL_S140,params_REVEAL_S200,params_REVEAL_S220,params_REVEAL_S50,params_SEDIMENT,params_SI,params_S_DIFF_200_220,params_VOLC_DIST,params_VPVS_DIFF,params_VP_120_VS_140,params_VP_40_VS_50,system_attrs_fixed_params,state
0,0.29330938796995104,2026-04-12 23:25:36.755736,2026-04-12 23:25:39.632161,0 days 00:00:02.876425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'MOHO_GRAV': 1.0, 'MOHO': 1.0, 'DEM': 1.0, 'LAB': 1.0, 'CTD': 1.0, 'EMAG2_LOG': 1.0, 'FREE_AIR': 1.0, 'BOUGUER': 1.0, 'SI': 1.0, 'GEOID': 1.0, 'REVEAL_S50': 1.0, 'REVEAL_S100': 1.0, 'REVEAL_S140': 1.0, 'REVEAL_S200': 1.0, 'REVEAL_S220': 1.0, 'REVEAL_P40': 1.0, 'REVEAL_P60': 1.0, 'REVEAL_P120': 1.0, 'REVEAL_P210': 1.0, 'LITH_RHO': 1.0, 'CRUST_RHO': 1.0, 'MAG_SEIS_MOHO': 1.0, 'S_DIFF_200_220': 1.0, 'P_DIFF_40_60': 1.0, 'VP_40_VS_50': 1.0, 'VP_120_VS_140': 1.0, 'VPVS_DIFF': 1.0, 'SEDIMENT': 1.0, 'VOLC_DIST': 1.0}",COMPLETE
1,0.28388169924333306,2026-04-12 23:25:39.633078,2026-04-12 23:25:42.171187,0 days 00:00:02.538109,2.962151658830349,1.0952662748632553,0.18410729205738682,1.7524101118128137,0.18408992080552522,0.1255111517297383,1.5958573588141265,1.040166367988731,0.31245650712608714,0.17258215396625,4.123206532618726,0.432845022129388,0.4192159350410975,0.7790143126276238,0.541828231953324,0.20492680115417347,0.32877474139911184,4.44475416669081,2.595942550311263,0.22948683681130555,0.20366442026830908,0.10838581269344748,0.7475992999956502,1.0502105436744278,0.3135775732257744,1.0150667045928572,0.21839352923182975,2.157696745589682,0.5954553793888989,,COMPLETE
2,0.3080546396746179,2026-04-12 23:25:42.172034,2026-04-12 23:25:45.017037,0 days 00:00:02.845003,0.3292529363110524,0.20609249413202357,4.09381360859878,0.1948567125127257,4.370990468130502,2.3628864184236402,1.4537555576161922,0.12897950480855533,0.8488762161408708,4.439102767051396,1.0769622478263126,0.11992724522955164,3.946212980759093,0.3385226783451977,0.7648565112369945,0.27520696850790527,1.3353819088790582,0.16119044727609197,0.6938901412739394,0.11439974749291269,3.5067764992972172,0.5595074635794794,0.1413663700812185,0.1465352103067214,2.074566765675251,0.21526280972215278,3.683296438423419,1.0370844668954533,3.3134836155089475,,COMPLETE
3,0.26804080554936993,2026-04-12 23:25:45.017746,2026-04-12 23:25:47.889993,0 days 00:00:02.872247,0.8356499023325523,0.4064644058668375,2.558586885593424,0.45745782054754014,0.4037506188440754,0.3001230180898044,2.306261812167793,0.28907721743726744,0.13359790328445564,0.15734685129393672,0.35704789209099796,0.11935477742481386,1.1454201562599386,1.7320535358459537,2.043455498416139,2.4290950368254953,1.5882886211970033,4.749974771378395,2.051259942215136,0.21757649801197562,0.10218376758008087,0.13386261584543913,0.3568426123255424,0.17355056469855074,2.9267581150621287,1.7361170890393296,0.3375589571206083,0.12822825454807552,0.36491004518573583,,COMPLETE
4,0.28845498528167846,2026-04-12 23:25:47.890922,2026-04-12 23:25:50.540686,0 days 00:00:02.649764,2.0410334065257048,1.9215811115723025,1.6284765129487637,0.6342770438858341,1.9613313824155445,0.8986552644007192,0.7728716861851782,0.15965665886173755,0.49799877736850856,0.24474916579073802,3.216235469207419,1.2111307195599326,0.3106554858581908,3.482797436617689,0.26517954410462846,0.3420435321164826,0.73121711727864,0.11045524260304719,0.15251209898002926,0.11308297976636,1.2057081573389115,0.5325732706437204,1.1916095713775827,0.6901506581791922,0.13514082247401413,3.024025177405686,2.360327600127808,3.797767944247853,0.1878927968546051,,COMPLETE
5,0.3052619562365072,2026-04-12 23:25:50.541507,2026-04-12 23:25:53.062959,0 days 00:00:02.521452,0.1538065811598201,0.7610438922351125,2.3540549916739844,3.284210350911731,3.3299080375866614,0.34695916603302895,0.5316714274124602,0.8247575333443021,0.35408871584750534,1.5646172845245514,0.20748033175894867,2.3196088229293594,4.477427984113195,0.37462611558389586,3.999220074578463,0.23842649129817403,0.1598260858385584,2.899715852166587,0.10275701058256682,0.7374699809816788,0.5118807219845012,2.453480159918335,0.32447648098898546,0.24392426447067803,0.4147589698454849,0.30474420508418104,0.699536365395908,0.26777533310313256,4.31687113842961,,COMPLETE
6,0.305288985603324,2026-04-12 23:25:53.063813,2026-04-12 23:25:55.594064,0 days 00:00:02.530251,0.17626741740706342,2.625148553475693,0.2974486379287082,0.7145565133513968,3.4923398229690443,0.25527510672017345,4.727053921131418,0.12230968684637636,0.14236381287235736,0.3507484078994471,1.0855042274745075,0.1155233613914713,0.11729398526129194,1.1921968649009667,0.8133268642646567,0.42155331669491175,1.1865024511462618,1.3865582968261485,1.9677452882613438,0.2533605885076776,1.7267033554444338,0.25777728526856764,0.7413627235366395,0.6785245383889537,0.2074384957294224,0.2425546071605745,0.10670437436886865,1.416320452869399,1.0090423315981845,,COMPLETE
7,0.3011111170152019,2026-04-12 23:25:55.594909,2026-04-12 23:25:58.208571,0 days 00:00:02.613662,0.15587917868879184,0.3767050528609561,3.903697468383557,1.492390555251755,0.17125527562127538,0.3797182755664948,3.0943771470831383,0.45399571411797673,1.1902012049596233,0.3920095005479951,0.19780776349405252,1.2477547117579695,3.3432081915002594,3.3445882537423945,3.3867510216238226,0.25757267464272166,0.1439391089327091,1.3221876538695285,2.445884838854264,0.8775452610882297,0.7940730292120066,0.27430586177787175,0.13897967017840054,3.7241461894928167,1.7115000764688548,0.1881925110523379,1.2325158377757162,2.113416820082882,3.2146465264678445,,COMPLETE
8,0.25865227568226945,2026-04-12 23:25:58.209497,2026-04-12 23:26:00.659508,0 days 00:00:02.450011,0.8556226023737441,0.4214422962057286,1.3405085969289574,0.1036634157292471,0.10199983732585115,0.18758929697854748,1.2813348073648008,0.1487294964712418,0.14426155883642527,0.2822090051553566,1.0722715472299058,3.36214634822542,4.498997443951861,1.3099797385674432,0.9237177101041923,1.2697166345350421,2.7720757993795844,1.621702307943825,0.25297586129952526,0.35714479620010053,1.8546693963465997,0.24045113403355006,2.2405805612946135,1.4979909410671277,0.25973536453725443,0.7144393131097432,1.1810970754652488,3.2776331220237247,0.46543736260056773,,COMPLETE
9,0.2509181810978328,2026-04-12 23:26:00.660393,2026-04-12 23:26:03.473638,0 days 00:00:02.813245,0.19994278254364248,2.7929018550910776,0.2999327032958846,0.2146406524604869,0.10997959032388707,1.2492175283159117,4.1753803075184335,1.6882022447363862,0.45109653340121175,0.34549437457269533,0.6867090776580449,0.9553057578887411,0.8830568083719574,2.81343883728721,0.31641701954844287,4.38851454510497,4.336720537130749,0.42548918777106237,0.1062332156990954,3.7773340393735215,0.5339148796046899,3.583662952414401,0.1462513716989619,3.961055478182881,0.19407209432804684,1.1088653955197347,0.9300725537404403,1.5224174271071171,3.89492303883841,,COMPLETE
10,0.27788550898583253,2026-04-12 23:26:03.474326,2026-04-12 23:26:06.076390,0 days 00:00:02.602064,0.38471569858573823,0.1411475375744899,4.694587995591945,0.24592266640710253,0.9591306586964499,4.271906202534824,0.18074074732332313,3.8364834250811493,3.301643616195548,4.9759253777463925,0.10237384946561917,0.3006266993930878,2.194309355738222,0.10570905089825085,0.11186259266452868,0.11165481730607958,0.299390907409177,0.10354983379808327,0.47277268411994716,2.1245986901363914,4.882950331441303,1.00739266866336,4.922686868821581,0.11447689083124304,4.868571330735698,0.13592684560311952,4.845805299341187,0.4653693802103219,1.822145599469548,,COMPLETE
11,0.29525721815098804,2026-04-12 23:26:06.077320,2026-04-12 23:26:08.621528,0 days 00:00:02.544208,0.34452590988896264,4.078173982345347,0.47430137697113445,0.374664403578959,4.908267283569983,3.3088555142988096,4.883827310709064,0.11051158946165518,2.713916521689966,4.672553729801875,1.9135605088838479,0.10116148148868637,0.10625556226593508,0.36245843422430474,0.5415243811475672,0.5367720088609034,1.5551821783887179,0.3917750867535228,0.8425124754124721,0.10887995298124047,3.584829348240464,0.43068002442276226,0.33585137688922484,0.3629092415676978,0.7211295584283746,0.35361377419940165,0.10852543171450915,0.7237158835153942,1.3677052768780333,,COMPLETE
12,0.30642190852187445,2026-04-12 23:26:08.622210,2026-04-12 23:26:11.368974,0 days 00:00:02.746764,0.351709954324241,0.13346795039233209,0.10529096108845992,0.10256899912949333,2.07453198221127,2.5981168684058553,0.34264798083024633,0.3006868156531187,1.551154353418854,2.4316469786803747,1.8876513253530876,0.20429781711770043,0.101501658431785,0.3569553386586243,1.5825696392355095,0.4099993204480416,0.4370235555834694,0.24304502865536418,4.939700593732622,0.34013055588342356,2.562734480318982,0.2518892983548897,0.4976822974191909,0.4397482273879362,1.5234400721507122,0.34863173285790217,4.832259207239229,0.38419907416983695,2.0961949094059205,,COMPLETE
