label,r2,rmse_mW,mae_mW,bias_mW,picp,pi_width_mW,shannon_H,nan_frac
QRF Q50 raw,0.4125,34.4249,17.1875,-3.4649,0.9178,79.9895,2.1014,0.0
QRF Q50 corrected,0.398,34.8466,18.2515,-2.1304,0.9449,104.5098,2.3594,0.0
QRF Q50 corr+conformal,0.398,34.8466,18.2515,-2.1304,0.8464,73.9895,2.3594,0.0
