label,r2,rmse_mW,mae_mW,bias_mW,picp,pi_width_mW,shannon_H,nan_frac
SIM raw,0.288,37.897,21.9774,-0.0352,,,1.7543,0.0
SIM corrected,0.1723,40.8593,25.9762,-6.1646,,,2.4093,0.0
