label,n_feats,rmse,mae,r2,picp,elapsed,feat_names
mc0192,25,0.06163474904568035,0.03632399192355891,0.31006005643491985,0.8724082934609251,7.247693061828613,"MOHO_GRAV,MOHO_GRAV_U,MOHO,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_120_VS_140,VPVS_DIFF,VOLC_DIST,GLiM"
mc0193,31,0.06236182886417081,0.03675120302578406,0.29368616847147366,0.8724082934609251,7.543973922729492,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,DEM,LAB,CTD,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,GLiM,TC1"
mc0194,32,0.06203479920550287,0.03656335254397256,0.30107465990718374,0.8724082934609251,7.497578859329224,"MOHO_GRAV_U,MOHO,MOHO_U,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_40_VS_50,VP_120_VS_140,VPVS_DIFF,SEDIMENT,VOLC_DIST,REG,GLiM"
mc0195,17,0.06318744073603329,0.03741662756678687,0.2748605113477398,0.8724082934609251,6.782311916351318,"MOHO_GRAV,MOHO_GRAV_U,MOHO,CTD,SI,REVEAL_S50,REVEAL_S140,REVEAL_P60,REVEAL_P210,LITH_RHO,CRUST_RHO,S_DIFF_200_220,VP_40_VS_50,VP_120_VS_140,VOLC_DIST,REG,GLiM"
mc0196,24,0.06304384849827041,0.037155515492143895,0.2781524975497114,0.8740031897926634,7.273362874984741,"MOHO_GRAV,MOHO_GRAV_U,MOHO_U,DEM,LAB,CTD,FREE_AIR,BOUGUER,SI,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_P40,REVEAL_P60,REVEAL_P120,REVEAL_P210,CRUST_RHO,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_120_VS_140,VPVS_DIFF,SEDIMENT,TC1"
mc0197,24,0.06284627628351337,0.03727603376619004,0.2826697832314915,0.8692185007974481,7.200650930404663,"MOHO_GRAV,MOHO_GRAV_U,MOHO_U,DEM,LAB,CTD,EMAG2_LOG,FREE_AIR,BOUGUER,GEOID,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S220,REVEAL_P60,REVEAL_P210,MAG_SEIS_MOHO,S_DIFF_200_220,P_DIFF_40_60,VP_120_VS_140,VPVS_DIFF,SEDIMENT,GLiM,TC1"
mc0198,13,0.06187833540081206,0.03681540163447334,0.30459586446083065,0.8596491228070176,6.365124225616455,"MOHO_GRAV,MOHO_GRAV_U,MOHO,DEM,CTD,BOUGUER,GEOID,REVEAL_S220,REVEAL_P40,REVEAL_P120,REVEAL_P210,S_DIFF_200_220,REG"
mc0199,21,0.0642437102202031,0.0377907032466212,0.2504143674653151,0.8644338118022329,6.929547071456909,"MOHO_GRAV,MOHO_GRAV_U,MOHO,MOHO_U,CTD,BOUGUER,REVEAL_S50,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P120,CRUST_RHO,MAG_SEIS_MOHO,P_DIFF_40_60,VP_40_VS_50,SEDIMENT,REG,GLiM,TC1"
mc0200,16,0.06169009880317061,0.03641879577054144,0.3088203286479302,0.8883572567783095,6.62304425239563,"MOHO_GRAV_U,DEM,EMAG2_LOG,FREE_AIR,BOUGUER,SI,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,LITH_RHO,S_DIFF_200_220,VP_40_VS_50,REG"
mc0201,19,0.06262234265739816,0.03735660380708754,0.28777265265077745,0.8644338118022329,6.861782789230347,"MOHO_GRAV_U,MOHO,MOHO_U,CTD,EMAG2_LOG,GEOID,REVEAL_S50,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P210,LITH_RHO,S_DIFF_200_220,P_DIFF_40_60,VP_120_VS_140,VOLC_DIST,REG,GLiM"
